gdp_per_cap_percentile,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,new_tests_smoothed,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
2.0,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,655.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0
2.0,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,857.0,0.0,0.08800000000000001,0.0,0.0,0.0,0.0,0.0
2.0,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,859.0,147.0,0.12100000000000001,0.0,0.0,0.0,0.0,0.0
2.0,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,1063.0,163.0,0.236,0.0,0.0,0.0,0.0,0.0
2.0,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,1490.0,175.0,0.19,0.0,0.0,0.0,0.0,0.0
