date,High,Low,Lower middle,Upper middle
2020-12-08,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0,0.0
2020-12-12,0.0,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.0
2020-12-15,718.0,0.0,0.0,0.0
2020-12-16,3018.0,0.0,0.0,0.0
2020-12-17,7197.0,0.0,0.0,0.0
2020-12-18,11169.0,0.0,0.0,0.0
2020-12-19,11889.0,0.0,0.0,0.0
2020-12-20,20092.0,0.0,0.0,0.0
2020-12-21,111013.0,0.0,0.0,0.0
2020-12-22,161363.0,0.0,0.0,0.0
2020-12-23,232685.0,0.0,0.0,0.0
2020-12-24,327428.0,0.0,0.0,0.0
2020-12-25,366349.0,0.0,0.0,4778.0
2020-12-26,402954.0,0.0,0.0,7918.0
2020-12-27,519535.0,0.0,0.0,8229.0
2020-12-28,695739.0,0.0,0.0,12085.0
2020-12-29,948057.0,0.0,0.0,28917.0
2020-12-30,1213932.0,0.0,0.0,73929.0
2020-12-31,1475974.0,0.0,0.0,91790.0
2021-01-01,1586747.0,0.0,0.0,93421.0
2021-01-02,1765252.0,0.0,0.0,95553.0
2021-01-03,1988353.0,0.0,0.0,97069.0
2021-01-04,2292916.0,0.0,0.0,160231.0
2021-01-05,2951802.0,0.0,0.0,243250.0
2021-01-06,3768366.0,0.0,0.0,303208.0
2021-01-07,4846230.0,0.0,0.0,375759.0
2021-01-08,6112942.0,0.0,0.0,427316.0
2021-01-09,6450680.0,0.0,0.0,456065.0
2021-01-10,6699853.0,0.0,0.0,476149.0
2021-01-11,7249166.0,0.0,0.0,567933.0
2021-01-12,8407781.0,0.0,0.0,658821.0
2021-01-13,10387546.0,0.0,60.0,853351.0
2021-01-14,12362963.0,0.0,138.0,1339975.0
2021-01-15,14552416.0,0.0,180.0,1841299.0
2021-01-16,15242721.0,0.0,191422.0,2000596.0
2021-01-17,15816162.0,0.0,224578.0,2062892.0
2021-01-18,16625452.0,0.0,454368.0,2288202.0
2021-01-19,17781734.0,0.0,675190.0,2536553.0
2021-01-20,19817841.0,0.0,806875.0,2782156.0
2021-01-21,22139792.0,0.0,1043955.0,3189001.0
2021-01-22,24854960.0,0.0,1391121.0,3595771.0
2021-01-23,27189710.0,0.0,1582730.0,4039849.0
2021-01-24,29120089.0,0.0,1616033.0,4231096.0
2021-01-25,30963462.0,0.0,2037055.0,4556641.0
2021-01-26,32866154.0,0.0,2126452.0,5101825.0
2021-01-27,35074367.0,26.0,2519069.0,5742354.0
2021-01-28,37924095.0,567.0,3156926.0,6469947.0
2021-01-29,40834351.0,567.0,3776711.0,7109344.0
2021-01-30,43600923.0,567.0,4140240.0,7604758.0
2021-01-31,45975343.0,567.0,4224832.0,7763742.0
2021-02-01,48080652.0,567.0,4586382.0,8065729.0
2021-02-02,49785520.0,567.0,4929915.0,8520921.0
2021-02-03,52248157.0,567.0,5384158.0,9245850.0
2021-02-04,55068712.0,567.0,6022961.0,10387152.0
2021-02-05,57969504.0,567.0,6615650.0,10761687.0
2021-02-06,61270880.0,567.0,7082386.0,11242061.0
2021-02-07,64103372.0,567.0,7130197.0,11483980.0
2021-02-08,66328067.0,567.0,7645238.0,11883140.0
2021-02-09,68356310.0,567.0,8150259.0,12506039.0
2021-02-10,71358119.0,159357.0,8887807.0,13251641.0
2021-02-11,74510067.0,159357.0,9634401.0,13977862.0
2021-02-12,77909424.0,159357.0,10387238.0,15245785.0
2021-02-13,81144393.0,159357.0,10774766.0,16131561.0
2021-02-14,84001180.0,328710.0,10801148.0,16419239.0
2021-02-15,84988570.0,555388.0,10900642.0,17190585.0
2021-02-16,86239894.0,786215.0,11528347.0,18508390.0
2021-02-17,88728759.0,1014121.0,12141925.0,19975152.0
2021-02-18,91727143.0,1280511.0,13026267.0,21724852.0
2021-02-19,94825645.0,1285559.0,13820503.0,23233143.0
2021-02-20,97426598.0,1285559.0,14372916.0,23984023.0
2021-02-21,99784537.0,1285559.0,14660197.0,24307101.0
2021-02-22,101876058.0,1294804.0,15043725.0,24972353.0
2021-02-23,104091533.0,1487635.0,15658140.0,26004940.0
2021-02-24,107087140.0,1687301.0,16577511.0,27017012.0
2021-02-25,110640033.0,1881920.0,17677114.0,28160960.0
2021-02-26,114435814.0,1896939.0,18741512.0,29304420.0
2021-02-27,117896748.0,1904077.0,19593979.0,30206674.0
2021-02-28,120962766.0,2034332.0,19769694.0,30528583.0
2021-03-01,123730879.0,2062518.0,20375568.0,31239864.0
2021-03-02,127028415.0,2097992.0,21350422.0,32522951.0
2021-03-03,130650344.0,2127845.0,22932630.0,34168504.0
2021-03-04,134673875.0,2152946.0,24536143.0,36371004.0
